epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
83,645.948,0.40547,0.31899,0.7079,0.80993,0,0.99741,1,0.995,0.94192,0.99741,1,0.995,0.91253,0.32241,0.20143,0.71929,0.79786,0,0.0003764,0.0003764,0.0003764
84,653.971,0.40011,0.36814,0.71091,0.79647,0,0.99735,1,0.995,0.94871,0.99735,1,0.995,0.90932,0.31791,0.20471,0.7143,0.7983,0,0.0003566,0.0003566,0.0003566
85,661.899,0.34708,0.27163,0.75386,0.75617,0,0.99735,1,0.995,0.94871,0.99735,1,0.995,0.90932,0.31791,0.20471,0.7143,0.7983,0,0.0003368,0.0003368,0.0003368
86,669.734,0.33592,0.35247,0.68352,0.87037,0,0.99727,1,0.995,0.9553,0.99727,1,0.995,0.90919,0.30254,0.20863,0.70063,0.79791,0,0.000317,0.000317,0.000317
87,677.521,0.36253,0.4255,0.65079,0.7889,0,0.99727,1,0.995,0.9553,0.99727,1,0.995,0.90919,0.30254,0.20863,0.70063,0.79791,0,0.0002972,0.0002972,0.0002972
88,685.395,0.36037,0.22718,0.72676,0.83822,0,0.99723,1,0.995,0.96674,0.99723,1,0.995,0.91992,0.29221,0.20936,0.6927,0.79753,0,0.0002774,0.0002774,0.0002774
89,692.648,0.34378,0.17411,0.66102,0.78173,0,0.99723,1,0.995,0.96674,0.99723,1,0.995,0.91992,0.29221,0.20936,0.6927,0.79753,0,0.0002576,0.0002576,0.0002576
90,699.764,0.31756,0.23485,0.61762,0.79106,0,0.99721,1,0.995,0.95796,0.99721,1,0.995,0.92557,0.29825,0.2092,0.6878,0.79765,0,0.0002378,0.0002378,0.0002378
91,706.756,0.29284,0.30624,0.74791,0.78734,0,0.99721,1,0.995,0.95796,0.99721,1,0.995,0.92557,0.29825,0.2092,0.6878,0.79765,0,0.000218,0.000218,0.000218
92,714.067,0.3258,0.28302,0.80128,0.79155,0,0.99724,1,0.995,0.95795,0.99724,1,0.995,0.93201,0.29004,0.20743,0.68594,0.79694,0,0.0001982,0.0001982,0.0001982
93,721.464,0.30467,0.25483,0.78386,0.71695,0,0.99724,1,0.995,0.95795,0.99724,1,0.995,0.93201,0.29004,0.20743,0.68594,0.79694,0,0.0001784,0.0001784,0.0001784
94,728.277,0.36675,0.31373,0.80927,0.7958,0,0.99723,1,0.995,0.96365,0.99723,1,0.995,0.91592,0.27552,0.203,0.68539,0.79481,0,0.0001586,0.0001586,0.0001586
95,735.292,0.27407,0.30363,0.74565,0.76405,0,0.99723,1,0.995,0.96365,0.99723,1,0.995,0.91592,0.27552,0.203,0.68539,0.79481,0,0.0001388,0.0001388,0.0001388
96,742.924,0.25155,0.20129,0.7135,0.7881,0,0.99727,1,0.995,0.9684,0.99727,1,0.995,0.90209,0.2623,0.2001,0.68514,0.79373,0,0.000119,0.000119,0.000119
97,750.82,0.26952,0.22897,0.6862,0.81993,0,0.99727,1,0.995,0.9684,0.99727,1,0.995,0.90209,0.2623,0.2001,0.68514,0.79373,0,9.92e-05,9.92e-05,9.92e-05
98,758.242,0.25636,0.21144,0.73921,0.83278,0,0.99728,1,0.995,0.98091,0.99728,1,0.995,0.90606,0.25636,0.19774,0.686,0.79342,0,7.94e-05,7.94e-05,7.94e-05
99,767.635,0.2732,0.22246,0.7382,0.81672,0,0.99728,1,0.995,0.98091,0.99728,1,0.995,0.90606,0.25636,0.19774,0.686,0.79342,0,5.96e-05,5.96e-05,5.96e-05
100,776.405,0.30784,0.2474,0.73603,0.77881,0,0.99734,1,0.995,0.98976,0.99734,1,0.995,0.90922,0.25345,0.19646,0.67997,0.79344,0,3.98e-05,3.98e-05,3.98e-05
